run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
soft_frobenius__main_evaluation__seed505__cfgad44b41a62d7,soft_frobenius,505,0.8,1.0,10,0.04811890930209432,0.0,0.1026083608348729,12
soft_frobenius__main_evaluation__seed505__cfgae92bc4e3d99,soft_frobenius,505,0.8,0.0,10,0.24578111755040552,0.3,0.07961231355851103,11
soft_frobenius__main_evaluation__seed505__cfgc9598de54cce,soft_frobenius,505,0.0,0.5,10,0.0505919010116356,0.0,0.10064922423268749,12
soft_frobenius__main_evaluation__seed505__cfgd64751b4bfac,soft_frobenius,505,0.6,0.25,10,0.00010897339491714692,0.0,0.1103203672560816,11
soft_frobenius__main_evaluation__seed505__cfgda04459a9327,soft_frobenius,505,0.0,0.0,10,0.06898853544084049,0.0,0.10171138632220664,11
soft_frobenius__main_evaluation__seed505__cfge4195764b842,soft_frobenius,505,0.2,0.25,10,0.03469683674450634,0.0,0.10494178915680483,12
soft_frobenius__main_evaluation__seed505__cfgf7bad7f306d3,soft_frobenius,505,0.6,0.75,10,0.00010439286029205434,0.0,0.11031216073836572,11
soft_frobenius__main_evaluation__seed505__cfgfcad231dd503,soft_frobenius,505,0.8,0.75,10,0.1191171838427271,0.2,0.09150557515456256,12
soft_frobenius__main_evaluation__seed505__cfgfcd05040062a,soft_frobenius,505,0.8,0.25,10,0.18893858883682552,0.3,0.08457023431774931,12
soft_frobenius__main_evaluation__seed506__cfg0f501e9fdba0,soft_frobenius,506,0.0,1.0,10,0.021213044852404918,0.0,0.08475505340796977,8
soft_frobenius__main_evaluation__seed506__cfg1cf041dd5483,soft_frobenius,506,0.6,0.0,10,0.04157720185091168,0.1,0.08282832597443515,9
soft_frobenius__main_evaluation__seed506__cfg3994653e497c,soft_frobenius,506,0.4,1.0,10,0.09616178764925074,0.2,0.0719844246204696,9
soft_frobenius__main_evaluation__seed506__cfg3a329c3e7920,soft_frobenius,506,0.6,0.25,10,0.03546425037323426,0.1,0.08330602441158975,9
soft_frobenius__main_evaluation__seed506__cfg40be92d064ca,soft_frobenius,506,0.2,1.0,10,0.0788116117293223,0.1,0.07484050663984246,8
soft_frobenius__main_evaluation__seed506__cfg42b6ba9e388d,soft_frobenius,506,0.8,0.0,10,0.16296052953368875,0.2,0.06765541001408801,9
soft_frobenius__main_evaluation__seed506__cfg4d1978abd359,soft_frobenius,506,0.6,0.75,10,0.02750183810933409,0.0,0.08393283103273075,8
soft_frobenius__main_evaluation__seed506__cfg512d8b2178e3,soft_frobenius,506,0.4,0.5,10,0.12474762930411391,0.2,0.0695946652831233,9
soft_frobenius__main_evaluation__seed506__cfg620a871c3b82,soft_frobenius,506,0.6,1.0,10,0.023749405052825568,0.0,0.08426785722079173,8
soft_frobenius__main_evaluation__seed506__cfg6c9ad97953d5,soft_frobenius,506,0.2,0.0,10,0.1212778127470002,0.2,0.07286574961242408,9
soft_frobenius__main_evaluation__seed506__cfg6f4d76de69c0,soft_frobenius,506,0.2,0.75,10,0.0883551016495793,0.1,0.0740018603687134,8
soft_frobenius__main_evaluation__seed506__cfg7256627d382a,soft_frobenius,506,0.8,0.25,10,0.1468100304041587,0.2,0.06813308753457428,9
soft_frobenius__main_evaluation__seed506__cfg776b52ef7f63,soft_frobenius,506,0.0,0.25,10,0.030267653299162655,0.1,0.08401042074808135,9
