method_family,corruption_fraction,confidence,intervention_id,target_node,value_raw,n,mean_mmd,std_mmd,median_mmd,min_mmd,max_mmd
hard_exclusion,0.6,,do_X3_neg2,3,-2.0,7,0.13073745506226356,0.1838085731146273,0.05970988406004191,0.03519061727505329,0.5442253692469323
hard_exclusion,0.6,,do_X3_pos2,3,2.0,7,0.12865716562980403,0.17368991431232256,0.05366653063232213,0.043091542197780164,0.5175009072617762
hard_exclusion,0.6,,do_X4_neg2,4,-2.0,7,0.14022050821016005,0.10317200720678285,0.07989780377585787,0.03413375734985641,0.2682808808183211
hard_exclusion,0.6,,do_X4_pos2,4,2.0,7,0.13545441929645655,0.09741823585132216,0.0807327024906958,0.040774499662067754,0.2666192684654144
hard_exclusion,0.6,,do_X5_neg2,5,-2.0,7,0.20500610895548604,0.267342165222114,0.07115802764487866,0.017160913827054758,0.6121021157030916
hard_exclusion,0.6,,do_X5_pos2,5,2.0,7,0.20431345920447222,0.25429812287917813,0.07900957725335817,0.02116980577808386,0.6062163991613181
hard_exclusion,0.6,,do_X6_neg2,6,-2.0,7,0.1888481677834227,0.21338096459860148,0.1188028944941738,0.03825416477770205,0.643531238381085
hard_exclusion,0.6,,do_X6_pos2,6,2.0,7,0.1928429148976174,0.20519671498387715,0.13025422727476826,0.03663307872381144,0.6021575686904119
hard_exclusion,0.6,,do_X7_neg2,7,-2.0,7,0.09165730274410697,0.07700307726543872,0.0770715897976032,0.0036601441444248373,0.23604512113371307
hard_exclusion,0.6,,do_X7_pos2,7,2.0,7,0.09882366370979156,0.09431113058669727,0.08553296825624213,0.0055477510020724985,0.28850498056245893
hard_exclusion,0.6,,do_X8_neg2,8,-2.0,7,0.10143728933852257,0.05946032114732645,0.09709190491319081,0.039002597931496796,0.19772749769196918
hard_exclusion,0.6,,do_X8_pos2,8,2.0,7,0.0998812637443932,0.06795306993131651,0.0831884155322154,0.04091546073607355,0.2212265927974328
hard_exclusion,0.6,,do_X9_neg2,9,-2.0,7,0.09250165418489338,0.08916515146506479,0.08387226188494357,0.004852691576176904,0.2541625395043026
hard_exclusion,0.6,,do_X9_pos2,9,2.0,7,0.10155510084261608,0.09503619080307502,0.08875109175992402,0.0017578826657076996,0.2590025057278841
hard_exclusion,0.8,,do_X0_neg2,0,-2.0,7,0.060112261681081115,0.06320729788330663,0.0621735503345775,0.004555462946963074,0.17992316470315872
hard_exclusion,0.8,,do_X0_pos2,0,2.0,7,0.059082665434437034,0.06383688712090935,0.062444581363559515,0.003498286370544279,0.1859257186480558
hard_exclusion,0.8,,do_X1_neg2,1,-2.0,7,0.0781851654340826,0.07438019023826216,0.06613589463862274,0.005627218467907702,0.22037458467212434
hard_exclusion,0.8,,do_X1_pos2,1,2.0,7,0.0943226584062489,0.09685238134832608,0.07454383165994855,0.005199849177482119,0.27857512169277004
hard_exclusion,0.8,,do_X2_neg2,2,-2.0,7,0.096764744039326,0.0692072163796368,0.10283330389878287,0.005904357969504226,0.19382472535603368
hard_exclusion,0.8,,do_X2_pos2,2,2.0,7,0.09635962863613502,0.06568640577981989,0.10632529461957879,0.011167634377010238,0.20327016539872828
hard_exclusion,0.8,,do_X3_neg2,3,-2.0,7,0.16915864915359952,0.19081323045628185,0.0815139474317666,0.028689502828311675,0.5683839068608161
hard_exclusion,0.8,,do_X3_pos2,3,2.0,7,0.16849235972201929,0.17976450466117067,0.08208659946549951,0.03715247430034507,0.5448267588470417
