run_id,method_family,seed_value,corruption_fraction,confidence,n_targeted_forbidden_edges,mean_abs_w_targeted_forbidden_edges,fraction_targeted_forbidden_above_threshold,mean_abs_w_non_targeted_edges,edge_count_from_thresholded_adjacency
soft_frobenius__main_evaluation__seed504__cfgc19d66160e94,soft_frobenius,504,0.2,0.5,10,0.03719309132180844,0.0,0.120390232734395,12
soft_frobenius__main_evaluation__seed504__cfgc2717780bf48,soft_frobenius,504,0.0,0.0,10,0.057408596554234824,0.1,0.12106981749309101,13
soft_frobenius__main_evaluation__seed504__cfgc688eb8b54c4,soft_frobenius,504,0.6,1.0,10,0.056426566179871754,0.1,0.11837135160914629,13
soft_frobenius__main_evaluation__seed504__cfgcf8b12abae49,soft_frobenius,504,0.2,0.25,10,0.04426258074545299,0.1,0.12050925170108188,13
soft_frobenius__main_evaluation__seed504__cfgdf3ec846c900,soft_frobenius,504,0.0,1.0,10,0.028565416247749997,0.0,0.12035374859807055,12
soft_frobenius__main_evaluation__seed504__cfgf3d210933e1c,soft_frobenius,504,0.6,0.25,10,0.07192465114069525,0.1,0.11835774993403451,13
soft_frobenius__main_evaluation__seed504__cfgf696a6ba170e,soft_frobenius,504,0.6,0.5,10,0.06589390336291082,0.1,0.11835703477737816,13
soft_frobenius__main_evaluation__seed504__cfgf7e197f43126,soft_frobenius,504,0.8,0.25,10,0.1289668502375188,0.2,0.11085398135526207,13
soft_frobenius__main_evaluation__seed504__cfgfd7bbcdb5db4,soft_frobenius,504,0.6,0.75,10,0.06079814410914047,0.1,0.11836860338881487,13
soft_frobenius__main_evaluation__seed505__cfg0223fbf91ee0,soft_frobenius,505,0.4,1.0,10,0.091163780746724,0.1,0.14427027258459324,18
soft_frobenius__main_evaluation__seed505__cfg052430500579,soft_frobenius,505,0.6,1.0,10,9.960083598160295e-05,0.0,0.15925183909379856,16
soft_frobenius__main_evaluation__seed505__cfg1277baba4d69,soft_frobenius,505,0.6,0.25,10,0.00010345533673879754,0.0,0.15924607812145272,16
soft_frobenius__main_evaluation__seed505__cfg17bf0c4ce084,soft_frobenius,505,0.4,0.25,10,0.12754955129800877,0.1,0.14217174476565606,18
soft_frobenius__main_evaluation__seed505__cfg18d392668978,soft_frobenius,505,0.8,0.75,10,0.12347452846747106,0.2,0.13977325378292613,17
soft_frobenius__main_evaluation__seed505__cfg348f6243fa64,soft_frobenius,505,0.6,0.75,10,0.00011075612315099687,0.0,0.15924429223761222,16
