run_id,configuration_hash_prefix,configuration_hash_full,method_family,final_status,was_overwritten,record_path,runtime_seconds,message
soft_frobenius__main_evaluation__seed503__cfgf598c814b77e,f598c814b77e,f598c814b77eddb2ef05a3f82acff90b14e77448956b56f556b80007231c671a,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfgf598c814b77e.json,9.910352899998543,
soft_frobenius__main_evaluation__seed503__cfg6de69eef7815,6de69eef7815,6de69eef78152bf6bdb9b2b57cf4d17fdd2d7e7ce91e6afe792072365be31912,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg6de69eef7815.json,9.898870999997598,
soft_frobenius__main_evaluation__seed503__cfgc428c0ac07c3,c428c0ac07c3,c428c0ac07c3dcee85582f1921a8e7fac10fdeff28c2202504f1fc3b2ab0a05c,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfgc428c0ac07c3.json,9.487402700004168,
soft_frobenius__main_evaluation__seed503__cfg30f18d667785,30f18d667785,30f18d66778571569136734953c6f6b7d1fd4357d6ab4dd6923f7f6cfb146708,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg30f18d667785.json,9.734591599990381,
soft_frobenius__main_evaluation__seed503__cfga743538a5191,a743538a5191,a743538a51918d884570b3a3a1aa360a735579457e0b8012a42966308725ca62,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfga743538a5191.json,10.64583660000062,
soft_frobenius__main_evaluation__seed503__cfg75b8b5f52b2e,75b8b5f52b2e,75b8b5f52b2ebd4442c63205ab47f15790957309d7dac9fcdff968a6c1945f2f,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg75b8b5f52b2e.json,9.789715999999316,
soft_frobenius__main_evaluation__seed503__cfgbe2f37a29faa,be2f37a29faa,be2f37a29faad04763bbd9300f95409c36665d9645a00f62a7c6a0f770663f73,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfgbe2f37a29faa.json,8.973753699989174,
soft_frobenius__main_evaluation__seed503__cfg11516bab7273,11516bab7273,11516bab72739adb1b3988d9c5091272acfe186fb6b9f35d1c114d420f6cbc69,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg11516bab7273.json,9.189845400003833,
soft_frobenius__main_evaluation__seed503__cfg326e30c48460,326e30c48460,326e30c48460cc5454a4e93235b4cbf229e02664e28a167a7a65abefe383f136,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg326e30c48460.json,9.51528039999539,
soft_frobenius__main_evaluation__seed503__cfgffc8ad10e3af,ffc8ad10e3af,ffc8ad10e3af945eb6bf8e99501c3173a3def8dc2ed6fac6ccc026d22cf631b5,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfgffc8ad10e3af.json,9.737014099999215,
soft_frobenius__main_evaluation__seed503__cfg80bdddd5a080,80bdddd5a080,80bdddd5a08077d371feae507a66a45f8f1d8baec9385d7635860b468f0cd9a5,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg80bdddd5a080.json,9.830251899998984,
soft_frobenius__main_evaluation__seed503__cfg615a9c3f812e,615a9c3f812e,615a9c3f812ed1366f6ae682e9e3f23f269d85172ebed3257e0d0ff79aad46d5,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg615a9c3f812e.json,9.4710100999946,
soft_frobenius__main_evaluation__seed503__cfgc711a05e8d94,c711a05e8d94,c711a05e8d9453eae23286a01a4e8d18d1efe3e19a3c6e4ecc60587cf5f0d971,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfgc711a05e8d94.json,9.880617900009383,
soft_frobenius__main_evaluation__seed503__cfg83d5cee1b2c6,83d5cee1b2c6,83d5cee1b2c61a6dc6384ba372485594f0aa2ff0827f1be005ab1a0133d66458,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg83d5cee1b2c6.json,8.98504729999695,
soft_frobenius__main_evaluation__seed503__cfgde6405d7592c,de6405d7592c,de6405d7592cf39120e1133f9ecfd5b4bbc0e5c2b696024968122dd4874dbd1e,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfgde6405d7592c.json,9.233515300002182,
soft_frobenius__main_evaluation__seed503__cfg4f520989ae6b,4f520989ae6b,4f520989ae6bf02ee3869eab297b963777f4a3f5d9cfa226d181fa8a3e8cd4f1,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg4f520989ae6b.json,6.30389369999466,
soft_frobenius__main_evaluation__seed503__cfg1e220ee17db4,1e220ee17db4,1e220ee17db42625dc217867e468d5138176fa583e00d05f80d6d2130dc7b5bb,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfg1e220ee17db4.json,8.875267199997324,
soft_frobenius__main_evaluation__seed503__cfgf83864fd29a6,f83864fd29a6,f83864fd29a6dda6c9c2c62712b52533c5d69f63c4afc2a1303722ce89d0f10b,soft_frobenius,success_computed,False,results/main_study/166c792c43bc/records/soft_frobenius__main_evaluation__seed503__cfgf83864fd29a6.json,9.972045399990748,
